device_id,timestamp,cpu_percent,ram_percent,disco_percent,latencia_ms,banda_mbps
1,2025-06-10 14:11:18,68.9,88.2,95.8,4.8,378.0
2,2025-06-10 14:11:18,41.3,53.1,53.5,6.6,409.8
3,2025-06-10 14:11:18,71.3,43.7,66.3,37.5,312.2
4,2025-06-10 14:11:18,86.5,83.0,97.2,11.5,148.3
5,2025-06-10 14:11:18,47.9,88.3,11.1,21.0,489.1
6,2025-06-10 14:11:18,87.1,55.9,87.7,17.8,151.1
7,2025-06-10 14:11:18,72.7,47.0,57.2,37.0,531.8
8,2025-06-10 14:11:18,49.0,51.9,100.0,16.9,567.1
9,2025-06-10 14:11:18,49.9,81.5,51.6,16.2,963.8
10,2025-06-10 14:11:18,63.7,66.6,75.8,30.4,532.4
11,2025-06-10 14:11:18,37.3,93.2,60.9,13.6,498.4
12,2025-06-10 14:11:18,26.8,50.3,66.9,4.4,369.9
13,2025-06-10 14:11:18,27.2,82.5,92.0,25.1,626.3
14,2025-06-10 14:11:18,60.4,50.7,32.8,10.1,455.2
15,2025-06-10 14:11:18,95.5,89.0,45.2,34.8,301.7
1,2025-06-10 14:21:18,48.6,51.9,44.3,14.5,217.3
2,2025-06-10 14:21:18,45.5,74.0,30.7,31.8,24.1
3,2025-06-10 14:21:18,79.3,57.1,73.4,36.4,406.6
4,2025-06-10 14:21:18,57.9,84.0,44.9,27.8,301.4
5,2025-06-10 14:21:18,24.7,58.5,74.8,8.6,418.5
6,2025-06-10 14:21:18,30.5,70.7,52.9,20.8,614.1
7,2025-06-10 14:21:18,30.5,76.2,52.6,1.0,319.8
8,2025-06-10 14:21:18,57.6,67.9,27.3,23.3,392.8
9,2025-06-10 14:21:18,56.1,73.0,58.4,19.7,531.1
10,2025-06-10 14:21:18,58.7,50.0,63.7,27.2,533.4
11,2025-06-10 14:21:18,46.0,58.4,67.9,28.5,464.2
12,2025-06-10 14:21:18,45.5,56.2,68.9,32.6,168.4
13,2025-06-10 14:21:18,99.5,78.5,42.9,33.9,10.0
14,2025-06-10 14:21:18,35.0,69.9,96.4,23.3,160.9
15,2025-06-10 14:21:18,55.7,32.1,55.6,17.1,525.6
1,2025-06-10 14:31:18,51.3,58.3,90.4,29.3,372.4
2,2025-06-10 14:31:18,75.2,39.7,34.3,28.7,60.7
3,2025-06-10 14:31:18,23.5,60.0,62.3,21.7,541.2
4,2025-06-10 14:31:18,40.3,65.3,55.3,2.0,179.4
5,2025-06-10 14:31:18,48.5,67.2,34.3,19.3,334.8
6,2025-06-10 14:31:18,74.4,73.3,39.7,31.8,377.5
7,2025-06-10 14:31:18,45.9,84.5,63.5,14.0,385.1
8,2025-06-10 14:31:18,41.2,53.7,100.0,29.1,448.1
9,2025-06-10 14:31:18,62.1,83.2,76.9,23.0,576.6
10,2025-06-10 14:31:18,54.3,65.7,30.6,16.8,452.8
11,2025-06-10 14:31:18,62.1,51.9,54.7,29.0,175.9
12,2025-06-10 14:31:18,92.2,73.6,62.0,27.9,518.3
13,2025-06-10 14:31:18,10.3,56.0,62.9,6.1,203.0
14,2025-06-10 14:31:18,93.5,54.5,43.9,8.5,545.7
15,2025-06-10 14:31:18,31.1,76.8,76.4,17.4,656.9
1,2025-06-10 14:41:18,48.0,47.8,51.1,32.0,655.1
2,2025-06-10 14:41:18,44.0,46.1,38.5,19.8,501.2
3,2025-06-10 14:41:18,42.3,56.0,70.9,12.7,439.5
4,2025-06-10 14:41:18,49.5,82.6,33.6,13.5,271.7
5,2025-06-10 14:41:18,41.4,61.7,51.4,25.3,403.0
6,2025-06-10 14:41:18,32.7,43.1,82.8,25.6,516.1
7,2025-06-10 14:41:18,73.7,59.2,68.2,29.7,543.0
8,2025-06-10 14:41:18,73.1,86.6,46.9,12.0,844.4
9,2025-06-10 14:41:18,5.0,55.3,54.0,24.3,614.1
10,2025-06-10 14:41:18,54.6,79.2,46.6,32.4,10.0
11,2025-06-10 14:41:18,47.8,93.5,28.6,20.0,258.2
12,2025-06-10 14:41:18,35.5,62.6,75.8,20.3,369.1
13,2025-06-10 14:41:18,63.6,71.9,53.8,2.4,300.5
14,2025-06-10 14:41:18,61.8,68.1,66.9,10.1,507.7
15,2025-06-10 14:41:18,49.9,56.4,65.5,21.1,195.9
1,2025-06-10 14:51:18,61.5,58.8,65.9,22.2,706.2
2,2025-06-10 14:51:18,61.1,73.3,64.9,15.2,427.0
3,2025-06-10 14:51:18,18.5,60.6,49.2,18.5,306.1
4,2025-06-10 14:51:18,63.7,54.9,54.4,14.2,109.9
5,2025-06-10 14:51:18,72.6,69.0,100.0,12.2,233.3
6,2025-06-10 14:51:18,76.2,76.4,84.0,10.9,74.1
7,2025-06-10 14:51:18,65.6,60.4,84.9,26.4,500.1
8,2025-06-10 14:51:18,39.2,76.8,45.8,35.3,133.3
9,2025-06-10 14:51:18,94.6,58.3,100.0,9.4,315.9
10,2025-06-10 14:51:18,77.0,52.3,69.1,5.4,467.0
11,2025-06-10 14:51:18,36.9,61.4,59.7,33.3,88.5
12,2025-06-10 14:51:18,30.5,55.1,28.9,23.5,501.7
13,2025-06-10 14:51:18,35.2,59.8,55.0,31.6,434.7
14,2025-06-10 14:51:18,56.9,34.5,33.8,6.9,423.4
15,2025-06-10 14:51:18,40.4,65.4,31.5,41.8,78.6
1,2025-06-10 15:01:18,57.6,60.1,55.7,27.1,340.2
2,2025-06-10 15:01:18,51.3,54.8,100.0,29.9,404.2
3,2025-06-10 15:01:18,82.6,67.9,49.2,25.9,597.0
4,2025-06-10 15:01:18,74.2,63.0,70.3,18.4,160.1
5,2025-06-10 15:01:18,38.3,50.8,51.3,31.4,602.9
6,2025-06-10 15:01:18,50.9,70.5,57.8,16.2,390.9
7,2025-06-10 15:01:18,36.8,82.6,70.3,26.8,201.9
8,2025-06-10 15:01:18,90.0,45.3,78.5,22.2,495.8
9,2025-06-10 15:01:18,53.5,83.6,70.7,11.2,456.1
10,2025-06-10 15:01:18,26.2,60.2,61.2,18.0,291.9
11,2025-06-10 15:01:18,55.7,85.7,53.8,18.9,252.2
12,2025-06-10 15:01:18,43.6,47.9,65.1,13.9,565.7
13,2025-06-10 15:01:18,56.2,82.3,68.5,30.5,261.5
14,2025-06-10 15:01:18,59.5,83.0,67.5,17.2,477.2
15,2025-06-10 15:01:18,55.1,58.0,53.0,20.8,556.9
1,2025-06-10 15:11:18,59.1,60.1,44.9,32.1,362.0
2,2025-06-10 15:11:18,44.5,58.9,52.9,23.8,575.2
3,2025-06-10 15:11:18,77.2,85.1,50.0,45.9,585.6
4,2025-06-10 15:11:18,43.9,56.8,69.9,22.1,10.0
5,2025-06-10 15:11:18,50.7,62.1,71.0,29.5,717.0
6,2025-06-10 15:11:18,90.7,100.0,28.4,26.9,502.8
7,2025-06-10 15:11:18,89.1,69.5,60.9,13.5,830.0
8,2025-06-10 15:11:18,65.1,87.1,57.4,25.3,621.8
9,2025-06-10 15:11:18,25.1,67.2,74.6,24.2,418.5
10,2025-06-10 15:11:18,100.0,61.4,20.5,17.1,751.1
11,2025-06-10 15:11:18,46.2,38.8,58.2,1.0,341.6
12,2025-06-10 15:11:18,62.2,85.9,37.1,27.4,373.0
13,2025-06-10 15:11:18,100.0,58.1,59.8,2.2,498.5
14,2025-06-10 15:11:18,87.9,80.1,78.4,8.9,188.4
15,2025-06-10 15:11:18,53.7,49.0,60.5,28.3,804.1
1,2025-06-10 15:21:18,73.1,51.2,57.5,17.8,630.4
2,2025-06-10 15:21:18,82.8,56.5,60.7,17.5,277.1
3,2025-06-10 15:21:18,57.4,39.6,49.5,34.9,210.9
4,2025-06-10 15:21:18,71.4,71.3,52.0,27.0,381.9
5,2025-06-10 15:21:18,60.2,42.6,73.2,26.2,608.4
6,2025-06-10 15:21:18,77.6,96.6,56.8,21.9,10.0
7,2025-06-10 15:21:18,50.0,80.0,87.1,21.0,389.7
8,2025-06-10 15:21:18,92.6,70.8,43.8,17.0,357.8
9,2025-06-10 15:21:18,89.1,63.2,57.9,5.9,423.0
10,2025-06-10 15:21:18,64.7,91.3,95.2,12.7,135.5
11,2025-06-10 15:21:18,42.5,67.8,21.1,23.3,555.1
12,2025-06-10 15:21:18,40.2,75.8,49.3,19.2,497.2
13,2025-06-10 15:21:18,53.3,79.5,54.5,23.9,235.4
14,2025-06-10 15:21:18,68.6,73.1,69.6,25.3,202.8
15,2025-06-10 15:21:18,58.2,56.6,78.6,18.7,135.5
1,2025-06-10 15:31:18,39.4,64.6,62.1,12.9,615.8
2,2025-06-10 15:31:18,93.1,32.3,86.4,35.7,611.8
3,2025-06-10 15:31:18,57.4,66.8,89.6,26.7,201.8
4,2025-06-10 15:31:18,40.3,42.8,30.8,19.5,205.4
